nom,station_id,RL_best,alpha_RL,Vmax_RL,calib_RL,valid_RL,prev_RL,GR4J_best,params_GR4J,calib_GR4J,valid_GR4J,prev_GR4J,HMP_best,params_HMP,calib_HMP,valid_HMP,prev_HMP,HMP_reseau_best,params_HMP_reseau,calib_HMP_reseau,valid_HMP_reseau,prev_HMP_reseau
Guindy,J203401001,,,,,,,,,,,,,"{'sy': None, 'hk': None}",,,,,"{'sy': None, 'hk': None}",,,
Loysance,J014401001,No,0.0015846015235619075,1017.5564666849948,0.4471505100559171,0.3054999197426227,,Yes,"[1380.2225040870521, -0.47639516974377794, 77.47846292526083, 1.5442942942942963]",0.8646917917777375,0.8767685215353929,0.7162032498751576,No,"{'sy': 0.0201702259063721, 'hk': 1.7906745556156936e-06}",0.7349252669364066,0.9336203346405604,,No,"{'sy': 0.010495, 'hk': 5.70492579704628e-06}",0.7022694957838509,0.9142520274485948,
Fremur_Pleslin,J100452001,No,0.001503012877677263,715.1075205502175,0.37754781243543856,0.31112394972919444,,Yes,"[359.5651512822755, -1.267773415642765, 54.12665405848712, 1.3562592773812945]",0.8732873814169053,0.846250109110985,0.8649996571080123,Yes,"{'sy': 0.0013563827514648, 'hk': 1.8667186768071693e-06}",0.9037966551103256,0.9329873366036404,0.8624768746067357,No,"{'sy': 0.01, 'hk': 4.278090819876354e-06}",0.6888430611132024,0.689037159292264,
Rance_StJouan,J061161001,No,0.001988439766053215,418.5604031779678,0.46957654677961236,0.432348645587039,,Yes,"[572.4927090136714, -0.9015249602267653, 33.11545195869231, 1.5930930930930955]",0.9157527919662357,0.9271426606980248,0.8274626417414844,Yes,"{'sy': 0.0107091674804687, 'hk': 2.397376964975773e-07}",0.9184472756062564,0.9161611819015824,0.8152026688289238,No,"{'sy': 0.01, 'hk': 4.097321098135387e-06}",0.7596440605394161,0.7779423802585683,
Nancon,J001401001,No,0.001746163976126662,973.6435453283772,0.4962753704022559,0.37994725412437746,,Yes,"[1141.387606628967, -0.8747758154867905, 164.02190729990198, 1.3100600600600636]",0.8495809852793472,0.8796011148460421,0.7551518825830825,No,"{'sy': 0.0185704345703125, 'hk': 0.0002834430550381}",0.765105206465104,0.9372932524308784,,No,"{'sy': 0.020395, 'hk': 4.4668359215096025e-06}",0.7453404065124738,0.9369432360775212,
Maudouve,J152401001,No,0.002154466420681684,371.8098729211156,0.5232851539062191,0.5266041802792387,,Yes,"[321.18754696552514, -10.502119930624549, 235.65523899608908, 1.1963660820999884]",0.9129603756201198,0.8944586267433291,0.8794171581550685,Yes,"{'sy': 0.0039320312499999, 'hk': 0.0001323662739223}",0.9575071771889988,0.9521664796991258,0.9438485271735709,No,"{'sy': 0.01, 'hk': 1.938652635952203e-06}",0.7601444856735552,0.7427713574267576,
Guyoult,J032301001,,,,,,,,,,,,,"{'sy': None, 'hk': None}",,,,,"{'sy': None, 'hk': None}",,,
Trieux_StPever,J171171001,No,0.003106239400057888,435.3960983075452,0.5900514151948666,0.6116828241357842,,Yes,"[407.4833202739017, -3.9806140142438022, 267.73561971364717, 1.2807807807807805]",0.9524812009942649,0.9560971769922936,0.9095449674816609,Yes,"{'sy': 0.0074371093749999, 'hk': 5.8754748113376254e-05}",0.9582764158804378,0.9707840909114148,0.9808237766789389,No,"{'sy': 0.01, 'hk': 4.940262207658563e-06}",0.8980081370612241,0.8900446457787878,
Leff_Quemper,J181301001,No,0.0016144846829275322,497.56673273592116,0.49251533532782465,0.5258153368246835,,Yes,"[572.4927090136714, -2.4805947349718958, 91.83559797815674, 1.7882882882882924]",0.9317122286610584,0.9388065780540076,0.8885946859581966,No,"{'sy': 0.01, 'hk': 9.999999999999996e-06}",0.7550240451618186,0.7349275498943977,,No,"{'sy': 0.01, 'hk': 1.259208527890224e-06}",0.8658027419904266,0.8530622177898678,
Guic,J221311001,No,0.006256748754318961,349.73770963858453,0.5364431491160362,0.5517429732033899,,No,"[541.4111192751196, -2.2685098773279426, 79.19865858948512, 1.293822915647091]",0.8848143218343771,0.8843968273710017,,Yes,"{'sy': 0.0028695159912109, 'hk': 9.357867904376809e-06}",0.9548325027326994,0.9456838908665676,0.9572966886514004,No,"{'sy': 0.01, 'hk': 1.7782794100389005e-05}",0.8619181933487008,0.8821197558904841,
