Name;id;x;y;Département
Evron;J132401001;286124;6835808;22
Gouet;J151301001;269016;6832185;22
Maudouve;J152401001;268082;6834560;22
Trieux_StPever;J171171001;248581;6837823;22
Trieux_StClet;J172172001;246510;6861042;22
Leff_Quemper;J181301001;253936;6862194;22
Jaudy;J202301001;239153;6864255;22
Guindy;J203401001;240725;6871783;22
Guic;J221311001;213828;6842804;29
Leguer_BelleIsle;J223301001;228253;6846555;22
Yar;J231491001;216004;6858690;22
Douron;J240401001;210153;6849065;29
Dourduff;J251401001;201590;6855584;29
Jarlot_Plougonven;J260301001;198899;6851181;29
Tromorgant;J260541001;199117;6851198;29
Queffleuth;J261401002;196175;6851544;29
Penze;J272301001;189998;6854106;29
Horn;J301433001;183533;6856805;29
