Name;id;x;y;Département
Guindy;J203401001;240725;6871783;22
Guyoult;J032301001;353973;6835365;35
Seiche;J748301001;349346;6779662;35
Canut-Nord;J751301001;327811;6777901;35
Evel-Guenin;J561301001;254000;6772493;56
Inam;J473401001;212056;6792230;56
Elle_Arzano;J474201001;217210;6775766;56
Ster-Goz;J461401001;196197;6777932;29
Canut-Sud;J797301001;327336;6753517;35
Aron;J782401001;348507;6745196;35
Aff_Quelneuc;J863241001;320771;6759979;56
Chere;J783301020;347381;6743791;44
Yvel;J836311001;299970;6779720;56
