nom,station_id,HMP_reseau_best,params_HMP_reseau,calib_HMP_reseau,valid_HMP_reseau,prev_HMP_reseau
Guillec,J302401001,Yes,"{'sy': 0.010495, 'hk': 1.3287323234140712e-05}",0.9434418127757498,0.951626937943211,0.9362017139707677
Aber-Wrach_Drennec,J320571001,Yes,"{'sy': 0.010495, 'hk': 1.8302061063110323e-05}",0.9118558345691304,0.9114200457261616,0.9204162768856318
Aber-Benoit,J321302002,Yes,"{'sy': 0.028315, 'hk': 1.7782794100389005e-05}",0.9559946132240462,0.9362431111413094,0.9424285621500532
Aber-Ildut,J332302002,Yes,"{'sy': 0.010495, 'hk': 1.5848931924611122e-06}",0.9319834939227476,0.9435747725810272,0.9409398260423
Elorn_Commana,J340302001,Yes,"{'sy': 0.010495, 'hk': 9.999999999999995e-07}",0.8772419883856211,0.9074229374058576,0.9727109331767508
Mougau-Bihan,J340411001,No,"{'sy': None, 'hk': None}",,,
Mignonne,J351401001,Yes,"{'sy': 0.01, 'hk': 1.3774076795305525e-05}",0.8835419422576967,0.8840660042720037,0.8389787221934762
Aulne_Poullaouen,J360181001,Yes,"{'sy': 0.000595, 'hk': 9.999999999999896e-06}",0.9654563238393696,0.9593168282067028,0.9475243746575353
Douffine,J383401001,Yes,"{'sy': 0.01, 'hk': 1.2956866975170042e-05}",0.8589936461895322,0.8418984462975723,0.7282623577252298
Goyen,J401401001,Yes,"{'sy': 0.01, 'hk': 1.7782794100389005e-05}",0.8265700899816084,0.892026822668713,0.7714525458795302
Pont-Abbe,J412442001,Yes,"{'sy': 0.01, 'hk': 1.2232071190499174e-05}",0.9132153562715,0.9283733937897704,0.9073610008717929
Troyon,J412572001,Yes,"{'sy': 0.01, 'hk': 1.0901844923851151e-05}",0.91672036894308,0.9103035387518972,0.8494279751306367
Odet_Ergue,J421191001,Yes,"{'sy': 0.01, 'hk': 1.6311729092278176e-05}",0.8932808343912614,0.9212036119466376,0.8079373053849802
36271.59751081467
