Name;id;x;y;Département
Veuvre;J708311001;365833;6796501;35
Flume;J721401001;344949;6797491;35
Seiche;J748301001;349346;6779662;35
Canut-Nord;J751301001;327811;6777901;35
Semnon;J763301001;353976;6761233;35
Aron;J782401001;348507;6745196;35
Chere;J783301020;347381;6743791;44
Canut-Sud;J797301001;327336;6753517;35
Lie;J813301001;282660;6803938;22
Yvel;J836311001;299970;6779720;56
Claie_StJean;J843301002;273656;6762669;56
Aff_Paimpont;J860241001;316560;6777182;35
Aff_Quelneuc;J863241001;320771;6759979;56
